Employee_ID,Department,Job_Role,Monthly_Income,Predicted_Income,Pay_Gap,Pay_Gap_Percent,Pay_Equity_Flag
143,Engineering,QA Engineer,4609.488,9506.700806514256,-4897.212806514256,-51.51327370225588,Below Expected
726,Sales,Account Rep,4041.11,6665.698113946316,-2624.588113946316,-39.374542157182574,Below Expected
899,Sales,Sales Executive,2901.76,5488.776289204023,-2587.0162892040225,-47.13284260268493,Below Expected
69,HR,HR Manager,4917.25,7486.216619700521,-2568.966619700521,-34.31595357446776,Below Expected
94,Sales,Sales Executive,5262.232,7562.749448002349,-2300.517448002349,-30.419062059632502,Below Expected
91,Engineering,Software Engineer,4533.898,6830.275649487146,-2296.3776494871463,-33.62057063772486,Below Expected
11,Finance,Accountant,4620.052,6871.272461553608,-2251.2204615536084,-32.76278846676097,Below Expected
512,Engineering,Software Engineer,3989.5460000000003,6212.019013741394,-2222.4730137413935,-35.776983438478496,Below Expected
600,Finance,Accountant,3673.12,5889.565490613115,-2216.445490613115,-37.63342973510901,Below Expected
809,HR,HR Specialist,2617.54,4741.220800364779,-2123.6808003647793,-44.791856143915254,Below Expected
170,Sales,Sales Manager,4907.88,7021.739987728273,-2113.859987728273,-30.104503889671445,Below Expected
380,Engineering,QA Engineer,3200.49,5281.795101700245,-2081.3051017002454,-39.40526017433466,Below Expected
381,Sales,Account Rep,3468.064,5512.136868467143,-2044.0728684671435,-37.08312977786371,Below Expected
285,Sales,Sales Manager,4143.54,6186.218142404256,-2042.6781424042556,-33.01982075934966,Below Expected
864,Finance,Finance Manager,3154.04,5158.918990323735,-2004.8789903237348,-38.86238559055031,Below Expected
824,Engineering,Software Engineer,2089.1600000000003,3983.083964800538,-1893.9239648005378,-47.54918504198242,Below Expected
801,HR,Recruiter,5729.8,7456.954692829579,-1727.1546928295784,-23.161662689064844,Below Expected
641,Sales,Account Rep,3185.05,4904.6426870091755,-1719.5926870091753,-35.06050892481576,Below Expected
465,Marketing,Marketing Manager,5565.21,7274.2978606877405,-1709.0878606877404,-23.49488422689027,Below Expected
2,Marketing,Marketing Manager,2462.8799999999997,4171.3818405510765,-1708.5018405510768,-40.9576947366048,Below Expected
387,Engineering,Software Engineer,6557.88,4844.642711908244,1713.2372880917565,35.363542576227125,Above Expected
748,Sales,Sales Manager,6276.68,4563.09127243064,1713.5887275693603,37.55324242411167,Above Expected
504,HR,HR Manager,8564.48,6739.245088142521,1825.2349118574784,27.08367017351719,Above Expected
14,Sales,Account Rep,7016.19,5158.591275117077,1857.5987248829224,36.0098062787648,Above Expected
257,Sales,Sales Executive,9446.36,7556.456706574048,1889.9032934259521,25.010442947178582,Above Expected
580,Sales,Sales Manager,8202.95,6302.916029736625,1900.0339702633755,30.145316252020113,Above Expected
695,Sales,Account Rep,7626.83,5518.975257607241,2107.8547423927594,38.192864508449034,Above Expected
637,Sales,Sales Executive,7729.73,5589.212515762343,2140.5174842376564,38.29729998995573,Above Expected
96,Marketing,Marketing Manager,10311.14,8133.324489470205,2177.8155105297947,26.77644932707775,Above Expected
681,HR,Recruiter,8960.84,6724.658084098457,2236.181915901543,33.253466390943466,Above Expected
378,Engineering,Senior Engineer,7893.31,5622.606429035695,2270.703570964305,40.38524836520955,Above Expected
517,Finance,Finance Manager,7875.63,5591.481279866754,2284.1487201332457,40.85051180190444,Above Expected
791,Finance,Finance Manager,7384.53,5068.073330918041,2316.4566690819584,45.70684987824259,Above Expected
556,Engineering,Senior Engineer,6590.56,4141.147690592409,2449.4123094075912,59.14815148882536,Above Expected
989,Engineering,QA Engineer,9601.02,7132.5575446912235,2468.462455308777,34.60837770802225,Above Expected
800,Marketing,Marketing Manager,9661.4,7164.533108224923,2496.8668917750765,34.85037830181369,Above Expected
414,Sales,Account Rep,8229.91,5455.678611226717,2774.2313887732826,50.85034486937075,Above Expected
919,Sales,Sales Executive,6025.254,3085.934024373101,2939.319975626899,95.24895712000888,Above Expected
699,Engineering,Senior Engineer,14739.253999999997,8147.731046871684,6591.522953128313,80.90010476792952,Above Expected
